Sample_ID,Label,UTM_Est,UTM_Nord,Palmitic,Palmitoleic,Heptadecenoic,Oleic,t.Octadecenoic,Linoleic,Linolenic,Eicosanoic,Eicosenoic,Behenic
AUL1,CE,534267.413,4492947.504,12.36,2.02,0,72.41,4.12,7.79,0.7,0.6,0,0
AUL2,CE,534264.37,4492946.713,11.9,2.14,0,75.19,3.92,5.75,0.56,0.53,0,0
AUL3,CE,534430.35,4491933.233,12.8,2.13,0,71.5,4.14,8.52,0.41,0.5,0,0
AUL4,CE,534446.498,4491955.508,12.49,2.67,0,72.52,4.17,7.32,0.38,0.45,0,0
AUL5,CE,534715.368,4491760.944,12.5,2.34,0,71.79,4.27,9.36,0.5,0.47,0,0
AUL6,CE,534868.4,4491583.06,12.28,2.13,0,74.44,4.03,6.09,0.52,0.52,0,0
AUL7,CE,535497.58,4491437.24,12.55,2.41,0,73.07,3.83,7.35,0.34,0.46,0,0
AUL8,CE,535539.75,4491087.73,12.52,2.46,0,72.83,4.43,6.94,0.41,0.42,0,0
AUL9,CE,536713.234,4490091.352,11.69,1.66,0,75.49,2.66,7.07,0.85,0.59,0,0
AUL10,CE,536793.104,4490152.798,12.37,2.05,0,74.03,3.34,7.04,0.66,0.51,0,0
AUL11,CE,537281.8,4490567.494,12.83,1.95,0,71.17,3.64,9.63,0.46,0.34,0,0
AUL12,CE,537330.658,4490564.964,12.49,2.1,0,72.32,3.29,8.69,0.65,0.45,0,0
AUL13,CE,536570.543,4488515.521,11.54,1.99,0,75.74,3.25,6.39,0.61,0.48,0,0
AUL14,CE,536566.01,4488489.268,12.56,2.29,0,72.49,3.53,8.16,0.51,0.46,0,0
AUL15,CE,536231.947,4488509.527,12.31,2.36,0,71.54,4.38,8.41,0.59,0.4,0,0
AUL16,CE,536282.429,4488478.995,13.57,1.99,0,73.13,4.09,6.34,0.41,0.47,0,0
BUC1,CE,532727.802,4495565.835,14.22,2.63,0,67.32,4.74,10.05,0.57,0.47,0,0
BUC3,CE,532150.142,4495122.742,12.7,2.8,0,70.47,4.06,9.08,0.46,0.43,0,0
BUC4,CE,532126.319,4495094.888,13.81,2.58,0,70.27,3.47,8.99,0.44,0.44,0,0
BUC5,CE,529401.035,4493959.384,13.48,2.8,0,73.44,3.77,5.62,0.49,0.39,0,0
BUC6,CE,529403.429,4493953.066,13.04,2.38,0,70.92,4.39,8.41,0.47,0.41,0,0
BUC7,CE,526891.419,4495352.099,13.85,2.71,0,69.32,3.88,9.34,0.47,0.43,0,0
BUC8,CE,526953.777,4495349.66,12.08,1.75,0,72.9,2.89,9.08,0.78,0.52,0,0
BUC10,CE,528045.836,4494659.587,12.61,2.5,0,70.87,4.18,9.02,0.39,0.43,0,0
CAG1,CE,538327.991,4490677.031,12.76,1.35,0,74.93,3.43,6.48,0.44,0.61,0,0
CAG2,CE,538296.13,4490749.131,12.7,2.09,0,73.12,3.95,7.4,0.33,0.42,0,0
CAG3,CE,538800.987,4490376.989,12.13,1.94,0,72.59,4.61,8.09,0.25,0.38,0,0
CAG4,CE,538802.953,4490357.129,12.02,1.96,0,75.35,3.52,6.43,0.33,0.38,0,0
CAG5,CE,540274.39,4490086.2,12.07,1.92,0,74.92,3.71,6.69,0.32,0.39,0,0
CAG6,CE,540391.997,4490133.454,12.84,2.21,0,71.53,4.37,8.33,0.33,0.4,0,0
CAG7,CE,540447.444,4490087.577,12.44,1.99,0,74.12,3.45,7.16,0.41,0.43,0,0
CAG8,CE,540483.849,4490087.33,12.27,2.1,0,73.1,3.62,8.14,0.38,0.39,0,0
CAG9,CE,539534.417,4489697.274,12.15,2.09,0,75.12,3.72,6.19,0.37,0.36,0,0
CAG10,CE,539535.744,4489734.467,10.94,1.91,0,73.78,3.77,9,0.26,0.33,0,0
PER1,CE,538213.492,4488272.977,13.35,2.42,0,71.41,3.58,8.21,0.54,0.5,0,0
PER2,CE,538209.2,4488366.976,13.21,2.6,0,69.83,4.29,9.13,0.52,0.43,0,0
PER3,CE,538227.354,4488343.98,12.58,2.54,0,72.55,4.26,7.18,0.46,0.42,0,0
PER4,CE,537454.032,4488534.871,13.16,2.71,0,72.22,3.94,7.16,0.37,0.43,0,0
PER5,CE,537464.207,4488532.036,13.24,2.44,0,72.44,3.72,7.32,0.39,0.46,0,0
PER6,CE,537368.092,4488719.373,12.52,2.62,0,73.37,4.06,6.57,0.4,0.46,0,0
PER7,CE,537374.431,4488670.896,12.64,2.39,0,73.63,4.06,6.33,0.48,0.48,0,0
PER8,CE,537386.547,4488652.53,12.78,2.21,0,71.7,4.54,7.88,0.4,0.49,0,0
PER9,CE,537292.681,4488712.335,13.35,2.36,0,72.34,3.69,7.33,0.5,0.43,0,0
PER10,CE,537300.273,4488752.002,12.41,2.58,0,73.88,4.18,6.16,0.38,0.42,0,0
PET1,CE,533537.035,4490079.06,13.15,2.12,0,73.05,4.06,6.86,0.46,0.31,0,0
PET2,CE,533513.788,4490090.277,12.76,2.21,0,72.97,4.17,7.17,0.36,0.36,0,0
PET3,CE,533529.536,4489581.397,12.69,1.88,0,73.25,3.8,7.6,0.4,0.37,0,0
PET4,CE,533509.645,4489580.197,12.3,2.25,0,73.62,4.58,6.59,0.34,0.34,0,0
PET5,CE,533490.844,4489562.574,11.98,2.03,0,74.13,3.67,7.44,0.39,0.36,0,0
PET6,CE,533481.07,4489533.114,14.1,1.24,0,73.03,2.8,7.83,0.48,0.51,0,0
PET7,CE,533508.2,4489506.151,13.97,1.1,0,75.09,2.57,6.17,0.52,0.59,0,0
PET7BIS,CE,533519.576,4489536.839,13.4,1.1,0,74.4,2.8,6.95,0.76,0.59,0,0
PET8,CE,533488.676,4489536.257,13.98,1.05,0,74.35,2.58,7.02,0.45,0.56,0,0
SALV1,CE,538445.711,4495143.411,13.3,3.12,0,69.45,4.56,8.53,0.59,0.45,0,0
SALV2,CE,538469.812,4495167.512,13.36,2.88,0,71.13,3.89,7.79,0.46,0.5,0,0
SALV3,CE,539846.111,4494049.211,13.41,2.76,0,72.09,3.5,7.2,0.56,0.48,0,0
SALV4,CE,539846.111,4494049.211,12.76,2.62,0,71.96,3.41,8.22,0.54,0.48,0,0
SALV5,CE,537690.265,4493830.312,12.41,2.83,0,75.03,4.53,4.27,0.47,0.46,0,0
SALV6,CE,537707.789,4493828.624,11.67,2.67,0,71.26,4.81,8.78,0.38,0.43,0,0
SALV7,CE,538097.087,4493602.378,12.49,2.35,0,75.19,4.1,4.93,0.5,0.43,0,0
SALV11,CE,538510.023,4493293.243,10.58,2.42,0,77.16,4.09,4.82,0.46,0.48,0,0
SALV12,CE,538547.831,4493346.055,12.57,2.55,0,72.95,3.53,7.27,0.64,0.5,0,0
A1,CM,515148,4444091,17.012,0.135,0.419,69.397,1.82,9.345,0.811,0.924,0,0.137
A2,CM,515123,4444066,15.275,0.926,0.194,70.918,1.439,5.823,0.331,0.42,0,0.044
A3,CM,515376,4443680,15.041,1.414,0.258,73.389,1.724,6.579,0.486,0.596,0,0.089
A4,CM,515367,4443693,19.984,0.069,0.409,69.706,1.523,6.66,0.703,0.785,0,0.161
A5,CM,515488,4443490,17.952,1.049,0.254,68.33,1.662,9.16,0.601,0.611,0,0.069
A6,CM,515477,4443472,15.799,1.413,0.24,73.325,1.639,6.358,0.347,0.487,0,0.062
A7,CM,515481,4443395,17.113,1.287,0.242,68.905,1.696,9.475,0.498,0.5,0,0.058
A8,CM,515456,4443391,22.019,0.073,0.416,68.913,1.365,5.693,0.675,0.748,0,0.097
A9,CM,515724,4443432,17.27,1.489,0.274,70.909,1.847,6.84,0.538,0.489,0,0.071
C6,CM,522578,4450585,13.997,0.066,0.416,77.005,0,6.696,0.985,0.688,0,0.147
CT1,CM,523723,4436764,13.235,1.121,0.25,72.176,1.393,10.176,0.732,0.639,0,0.08
CT2,CM,523726,4436783,13.198,1.278,0.345,74.432,1.769,7.517,0.545,0.552,0,0.063
CT3,CM,523294,4436260,15.778,1.549,0.402,68.118,1.866,10.901,0.489,0.567,0,0.068
CT4,CM,523271,4436269,16.089,0.12,0.323,64.952,0,4.011,0.562,0.475,0,0.074
CT5,CM,525226,4433238,18.805,0.156,0.469,69.098,1.836,7.854,0.82,0.845,0,0.117
CT6,CM,525163,4433227,16.424,1.264,0.327,69.626,1.804,8.728,0.793,0.612,0,0.082
CT8,CM,525838,4433935,25.755,0.349,0.399,62.846,1.434,7.596,0.793,0.728,0,0.1
CT9,CM,526663,4435437,14.954,1.343,0.261,72.491,1.815,7.689,0.523,0.566,0,0.076
CT10,CM,526639,4435445,15.58,1.349,0.343,70.569,1.153,9.355,0.705,0.615,0,0.082
P1,CM,517241,4441864,18.989,0.067,0.449,69.92,1.579,7.429,0.654,0.796,0,0.116
P2,CM,517335,4441857,14.227,1.642,0.353,71.861,1.436,8.833,0.571,0.552,0,0.081
P3,CM,518276,4441432,20.145,0.157,0.421,67.806,1.687,8.039,0.778,0.818,0,0.148
P4,CM,518896,4440628,16.699,0.189,0.482,71.645,1.502,7.558,0.878,0.889,0,0.157
P5,CM,518910,4440646,17.487,1.186,0.268,69.35,1.461,8.658,0.553,0.612,0,0.072
P6,CM,519699,4439475,15.801,1.651,0.212,71.062,1.877,8.241,0.41,0.422,0,0.058
P7,CM,519832,4439485,13.735,1.449,0.292,73.169,1.699,8.159,0.616,0.536,0,0.066
P8,CM,519879,4439468,17.547,1.332,0.159,65.562,1.411,12.785,0.453,0.463,0,0.066
P9,CM,519814,4439476,14.212,2.29,0.313,69.464,2.005,10.12,0.689,0.529,0,0.075
SM1,CM,524295,4437940,16.113,1.847,0.323,69.071,2.074,8.982,0.648,0.561,0,0.077
SM2,CM,524191,4438266,12.5,0.068,0.315,73.815,2.11,8.632,1.112,0.547,0,0.128
SM3,CM,524188,4438268,15.23,1.146,0.321,72.164,1.277,7.799,0.956,0.656,0,0.086
SM4,CM,524339,4438416,15.499,0.124,0.525,73.057,1.345,7.108,1.222,0.963,0,0.156
SM5,CM,524407,4438411,9.946,0.063,0.264,80.721,0,7.269,1.117,0.532,0,0.088
OIR1,OIR,481145.468,4513652.569,12.61,0.765,0,74.26,0,6.65,1.456,0,0.696,0
OIR2,OIR,479992.49,4514543.62,17.971,0.967,0.236,61.586,0,16.53,1.988,0,0.724,0
OIR3,OIR,479984.8,4514532.14,16.595,1.052,0.195,68.413,0,11.084,1.716,0,0.943,0
OIR4,OIR,479988.59,4514511.79,16.963,1.053,0.732,66.437,0,11.308,1.64,0,0.642,0
OIR8,OIR,475599.046,4519354.108,10.896,0.593,0.025,82.659,0,1.757,0.793,0,0.644,0
OIR9,OIR,475599.548,4519327.242,10.327,1.008,0,79.295,0,4.731,1.209,0,0.716,0
OIR15,OIR,494233.166,4534038.513,12.982,1.045,0.021,79.74,0,2.201,0.802,0,0.591,0
OIR16,OIR,493792.222,4535382.667,11.849,0.563,0.038,78.596,0,5.938,0.76,0,0.748,0
OIR17,OIR,493773.38,4535394.007,11.91,1.051,0.018,79.586,0,3.017,1.033,0,0.668,0
OIR18,OIR,494641.513,4536391.519,12.864,0.95,0.009,80.137,0,2.292,0.857,0,0.617,0
OIR19,OIR,494608.816,4536432.065,13.086,1.014,0.017,79.377,0,2.498,1.024,0,0.617,0
OIR23,OIR,495859.794,4536565.902,13.636,1.008,0.022,77.623,0,2.897,1.217,0,0.626,0
OIR24,OIR,495804.855,4536563.607,12.775,1.178,0.02,80.219,0,2.253,0.814,0,0.581,0
OIR25,OIR,495707.005,4537413.33,12.074,0.669,0,76.284,0,6.538,1.004,0,0.686,0
OIR26,OIR,495544.882,4537225.369,13.098,1.216,0.02,78.524,0,2.534,1.069,0,0.629,0
OIR28,OIR,495474.665,4537261.831,12.295,1.208,0.024,79.567,0,2.539,1.03,0,0.616,0
OIR29,OIR,495488.284,4537246.274,9.316,0.55,0.023,83.269,0,1.763,0.771,0,0.813,0
OIR30,OIR,496991.934,4539562.162,12.223,0.876,0.019,78.573,0,3.961,0.8,0,0.711,0
OIR31,OIR,497094.771,4539543.586,13.403,1.102,0.026,79.185,0,2.181,0.816,0,0.588,0
OIR32,OIR,499315.962,4538337.143,11.524,0.555,0.017,75.754,0,7.625,0.83,0,0.701,0
OIR33,OIR,499466.31,4537835.477,9.752,0.812,0,83.743,0,1.992,0.798,0,0.467,0
OIR34,OIR,499539.15,4537801.398,9.498,0.651,0,82.38,0,3.722,0.815,0,0.568,0
OIR35,OIR,499531.666,4537853.347,10.781,1.26,0,80.938,0,2.325,0.967,0,0.656,0
OIR36,OIR,498891.645,4539445.628,11.964,1.187,0,80.633,0,2.327,0.984,0,0.638,0
OIR38,OIR,498858.94,4539495.366,10.128,0.913,0,78.263,0,4.048,2.652,0,0,0
OIR40,OIR,498993.039,4539905.862,13.131,1.397,0,76.976,0,2.507,0.842,0,0.63,0
OIR41,OIR,499319.683,4542209.278,12.933,0.852,0,75.878,0,6.84,0.674,0,0.664,0
OIR42,OIR,499307.92,4542249.904,11.665,0.852,0,73.177,0,8.029,1.016,0,0.695,0
OIR43,OIR,499708.224,4542295.731,10.31,0.945,0,78.323,0,5.601,1.459,0,0.776,0
OIR44,OIR,499720.434,4542267.658,12.077,0.581,0,73.054,0,8.311,0.894,0,0.714,0
OIR45,OIR,499730.247,4542238.338,11.857,0.606,0,71.157,0,9.359,1.121,0,0.66,0
OIR46,OIR,499622.69,4547963.047,12.26,1.495,0,78.743,0,2.393,0.886,0,0.647,0
OIR47,OIR,499620.507,4547958.162,12.539,0.658,0,76.723,0,5.131,0.952,0,0.695,0
OIR50,OIR,498423.089,4548108.074,17.508,1.528,0.039,72.67,2.665,2.647,0.709,0,0.516,0.05
OIR51,OIR,498469.463,4548137.588,11.804,1.174,0,77.951,0,3.938,0.893,0,0.69,0
OIR53,OIR,498495.25,4548165.116,14.442,0.539,0.073,71.7,0.326,9.525,0.759,0,0.637,0.073
OIR56,OIR,501637.433,4548649.937,10.167,0.8,0,82.557,0,2.429,0.459,0,0.687,0
OIR57,OIR,501599.813,4548616.068,10.198,0.741,0.01,82.212,0,2.793,0.463,0,0.637,0
OIR58,OIR,501662.963,4548664.263,12.626,0.593,0.056,75.903,0,6.648,0.97,0,0.616,0
OIR61,OIR,501719.58,4548622.86,12.813,1.221,0.019,79.578,0,2.507,0.965,0,0.554,0
OIR62,OIR,501688.421,4548626.63,12.278,0.775,0,76.212,0,7.123,0.893,0,0.602,0
OIR67,OIR,505174.086,4546494.878,10.14,0.847,0,82.384,0,3.202,0.823,0,0.497,0
OIR68,OIR,505154.557,4546508.328,12.452,0.507,0.022,78.692,0,5.115,0.729,0,0.577,0
OIR69,OIR,505130.035,4546511.298,12.375,1.301,0.016,79.806,0,2.674,0.941,0,0.52,0
OIR70,OIR,505114.009,4546519.763,13.411,1.208,0.014,79.142,0,2.394,0.868,0,0.539,0
OIR72,OIR,505125.568,4546453.958,13.932,0.773,0,77.386,0,5.275,0.907,0,0,0
OIR73,OIR,484388.533,4511846.879,13.48,2.8,0,63.42,4.5,14.8,0.67,0.34,0,0
OIR74,OIR,484418.576,4511861.308,15.77,3.87,0,64.6,5.33,8.74,1.14,0.55,0,0
OSE1,OSE,520757.795,4499601.219,12.632,0.616,0,75.975,0,8.135,0.917,0,0.749,0
OSE2,OSE,523410.415,4498753.479,11.591,0.757,0,75.988,0,8.33,0.934,0,0.707,0.216
OSE5,OSE,522474.797,4499750.626,11.936,0.787,0,77.454,0,6.862,0.939,0,0.673,0.076
OSE6,OSE,521834.712,4499540.143,10.136,0.673,0,81.318,0,5.608,0.578,0,0.611,0
OSE7,OSE,521835.141,4499595.535,10.286,0.747,0,79.532,0,7.116,0.748,0,0.562,0
OSE10,OSE,519350.058,4504207.085,10.537,0.614,0,79.7,0,6.84,0.672,0,0.534,0
OSE11,OSE,519344.176,4504210.855,9.969,0.768,0,79.094,0,7.558,0.638,0,0.551,0
OSE12,OSE,519472.355,4505806.091,11.333,0.608,0,77.905,0,7.264,0.901,0,0.705,0
OSE15,OSE,519584.318,4505827.255,11.561,0.429,0.03,78.411,0,4.852,1.249,0,0.724,0
OSE16,OSE,520033.547,4507182.935,13.039,0.569,0,74.813,0,8.519,1.057,0,0.717,0.084
OSE17,OSE,520033.166,4507189.55,11.885,0.654,0,74.578,0,10.091,0.978,0,0.691,0
OSE18,OSE,519573.264,4509823.184,11.333,0.608,0,77.905,0,7.264,0.901,0,0.705,0
OSE19,OSE,519798.523,4510236.945,10.872,0.647,0,80.936,0,4.957,0.592,0,0.609,0
OSE20,OSE,519786.42,4510248.346,11.191,0.666,0,80.357,0,5.375,0.664,0,0.628,0
OSE22,OSE,519758.663,4510747.574,10.966,0.822,0,77.254,0,8.438,0.713,0,0.636,0
OSE23,OSE,519771.273,4510735.842,11.395,0.632,0,77.658,0,7.584,0.799,0,0.722,0
OSE24,OSE,519376.47,4513398.27,11.413,0.583,0,80.769,0,4.462,0.781,0,0.696,0
OSE25,OSE,519375.582,4513382.727,8.809,0.182,0.069,84.397,0,4.303,0.708,0,0.641,0.047
OSE26,OSE,519319.618,4513937.167,9.496,0.329,0,83.351,0,4.877,0.437,0,0.524,0
OSE27,OSE,519323.598,4513938.432,8.347,0.28,0,85.313,0,4.094,0.42,0,0.499,0
OSE29,OSE,520398.898,4517187.444,9.761,0.378,0.077,83.305,0,4.321,0.448,0,0.509,0
OSE31,OSE,519091.557,4517846.997,10.228,0.36,0,80.944,0,6.806,0.85,0,0.543,0
OSE32,OSE,519116.592,4517852.39,9.605,0.349,0,82.892,0,5.272,0.539,0,0.479,0
OSE34,OSE,519494.454,4517175.791,9.01,0.379,0,84.94,0,3.761,0.625,0,0.484,0
OSE36,OSE,519556.3,4517169.072,9.018,0.315,0,83.352,0,5.146,0.649,0,0.522,0
OSE37,OSE,519255.934,4516714.711,9.909,0.35,0,82.206,0,5.671,0.577,0,0.523,0
