Sample_ID,Label,UTM_Est,UTM_Nord,MASL,Trunk_Circumference
AUL1,CE,534267.413,4492947.504,372,0.64
AUL2,CE,534264.37,4492946.713,372,1.69
AUL3,CE,534430.35,4491933.233,346,1.79
AUL4,CE,534446.498,4491955.508,351,2.47
AUL5,CE,534715.368,4491760.944,315,0.43
AUL6,CE,534868.4,4491583.06,293,0.55
AUL7,CE,535497.58,4491437.24,291,1.52
AUL8,CE,535539.75,4491087.73,281,3.7
AUL9,CE,536713.234,4490091.352,310,3.98
AUL10,CE,536793.104,4490152.798,324,0.58
AUL11,CE,537281.8,4490567.494,367,0.37
AUL12,CE,537330.658,4490564.964,325,3.19
AUL13,CE,536570.543,4488515.521,298,1.78
AUL14,CE,536566.01,4488489.268,297,1.88
AUL15,CE,536231.947,4488509.527,246,0.97
AUL16,CE,536282.429,4488478.995,248,1.56
BUC1,CE,532727.802,4495565.835,207,1.46
BUC3,CE,532150.142,4495122.742,188,0.36
BUC4,CE,532126.319,4495094.888,188,2.1
BUC5,CE,529401.035,4493959.384,164,0.65
BUC6,CE,529403.429,4493953.066,163,1.45
BUC7,CE,526891.419,4495352.099,186,0.67
BUC8,CE,526953.777,4495349.66,191,0.4
BUC10,CE,528045.836,4494659.587,156,0.95
CAG1,CE,538327.991,4490677.031,466,1.7
CAG2,CE,538296.13,4490749.131,467,0.42
CAG3,CE,538800.987,4490376.989,466,0.46
CAG4,CE,538802.953,4490357.129,466,1.53
CAG5,CE,540274.39,4490086.2,525,1.35
CAG6,CE,540391.997,4490133.454,536,0.66
CAG7,CE,540447.444,4490087.577,541,5.75
CAG8,CE,540483.849,4490087.33,542,0.2
CAG9,CE,539534.417,4489697.274,435,0.66
CAG10,CE,539535.744,4489734.467,440,3.2
PER1,CE,538213.492,4488272.977,327,4.16
PER2,CE,538209.2,4488366.976,328,0.23
PER3,CE,538227.354,4488343.98,332,2.18
PER4,CE,537454.032,4488534.871,244,0.45
PER5,CE,537464.207,4488532.036,244,0.7
PER6,CE,537368.092,4488719.373,244,1.14
PER7,CE,537374.431,4488670.896,235,1.82
PER8,CE,537386.547,4488652.53,231,0.35
PER9,CE,537292.681,4488712.335,252,2.22
PER10,CE,537300.273,4488752.002,255,0.6
PET1,CE,533537.035,4490079.06,288,0.46
PET2,CE,533513.788,4490090.277,286,1.7
PET3,CE,533529.536,4489581.397,307,0.34
PET4,CE,533509.645,4489580.197,313,2.1
PET5,CE,533490.844,4489562.574,318,0.56
PET6,CE,533481.07,4489533.114,327,2.39
PET7,CE,533508.2,4489506.151,326,2.08
PET7BIS,CE,533519.576,4489536.839,317,2.5
PET8,CE,533488.676,4489536.257,323,1.08
SALV1,CE,538445.711,4495143.411,236,1.62
SALV2,CE,538469.812,4495167.512,241,2.3
SALV3,CE,539846.111,4494049.211,268,0.36
SALV4,CE,539846.111,4494049.211,268,0.43
SALV5,CE,537690.265,4493830.312,450,0.46
SALV6,CE,537707.789,4493828.624,452,0.5
SALV7,CE,538097.087,4493602.378,529,0.5
SALV11,CE,538510.023,4493293.243,565,0.55
SALV12,CE,538547.831,4493346.055,569,2.55
A1,CM,515148,4444091,163,3.6
A2,CM,515123,4444066,152,4.7
A3,CM,515376,4443680,167,4.1
A4,CM,515367,4443693,166,2.6
A5,CM,515488,4443490,170,4.45
A6,CM,515477,4443472,168,3
A7,CM,515481,4443395,176,5.1
A8,CM,515456,4443391,175,5.55
A9,CM,515724,4443432,212,3.4
C6,CM,522578,4450585,485,3.35
CT1,CM,523723,4436764,162,3.9
CT2,CM,523726,4436783,164,3.5
CT3,CM,523294,4436260,59,4.35
CT4,CM,523271,4436269,52,4.3
CT5,CM,525226,4433238,19,4.05
CT6,CM,525163,4433227,17,3.65
CT8,CM,525838,4433935,166,3
CT9,CM,526663,4435437,297,3.9
CT10,CM,526639,4435445,290,3.6
P1,CM,517241,4441864,178,4.45
P2,CM,517335,4441857,170,3.7
P3,CM,518276,4441432,191,3.75
P4,CM,518896,4440628,189,2.75
P5,CM,518910,4440646,191,2.8
P6,CM,519699,4439475,95,5.9
P7,CM,519832,4439485,105,8.4
P8,CM,519879,4439468,89,9.05
P9,CM,519814,4439476,101,5.95
SM1,CM,524295,4437940,236,3.2
SM2,CM,524191,4438266,234,3.25
SM3,CM,524188,4438268,234,3.5
SM4,CM,524339,4438416,235,6.25
SM5,CM,524407,4438411,238,2.64
OIR1,OIR,481145.468,4513652.569,213,2.32
OIR2,OIR,479992.49,4514543.62,422,3.14
OIR3,OIR,479984.8,4514532.14,186,2.98
OIR4,OIR,479988.59,4514511.79,186,3.4
OIR8,OIR,475599.046,4519354.108,359,4.03
OIR9,OIR,475599.548,4519327.242,361,4.32
OIR15,OIR,494233.166,4534038.513,610,2.71
OIR16,OIR,493792.222,4535382.667,566,2.25
OIR17,OIR,493773.38,4535394.007,572,3.2
OIR18,OIR,494641.513,4536391.519,514,2.43
OIR19,OIR,494608.816,4536432.065,502,2.1
OIR23,OIR,495859.794,4536565.902,492,1.9
OIR24,OIR,495804.855,4536563.607,497,2.16
OIR25,OIR,495707.005,4537413.33,476,1.41
OIR26,OIR,495544.882,4537225.369,530,2.29
OIR28,OIR,495474.665,4537261.831,496,1.93
OIR29,OIR,495488.284,4537246.274,508,2.36
OIR30,OIR,496991.934,4539562.162,401,1.92
OIR31,OIR,497094.771,4539543.586,408,1.85
OIR32,OIR,499315.962,4538337.143,454,1.78
OIR33,OIR,499466.31,4537835.477,460,2.16
OIR34,OIR,499539.15,4537801.398,451,1.94
OIR35,OIR,499531.666,4537853.347,462,2.93
OIR36,OIR,498891.645,4539445.628,390,2.4
OIR38,OIR,498858.94,4539495.366,392,3.02
OIR40,OIR,498993.039,4539905.862,399,3.12
OIR41,OIR,499319.683,4542209.278,364,4.1
OIR42,OIR,499307.92,4542249.904,362,3.92
OIR43,OIR,499708.224,4542295.731,413,2.53
OIR44,OIR,499720.434,4542267.658,424,1.62
OIR45,OIR,499730.247,4542238.338,425,2.78
OIR46,OIR,499622.69,4547963.047,442,2.25
OIR47,OIR,499620.507,4547958.162,446,1.7
OIR50,OIR,498423.089,4548108.074,432,4.65
OIR51,OIR,498469.463,4548137.588,443,3.82
OIR53,OIR,498495.25,4548165.116,455,2.58
OIR56,OIR,501637.433,4548649.937,461,2.05
OIR57,OIR,501599.813,4548616.068,474,2.4
OIR58,OIR,501662.963,4548664.263,471,2.91
OIR61,OIR,501719.58,4548622.86,459,3.6
OIR62,OIR,501688.421,4548626.63,451,3.43
OIR67,OIR,505174.086,4546494.878,404,0.54
OIR68,OIR,505154.557,4546508.328,405,1.59
OIR69,OIR,505130.035,4546511.298,406,1.49
OIR70,OIR,505114.009,4546519.763,407,1.15
OIR72,OIR,505125.568,4546453.958,402,0.58
OIR73,OIR,484388.533,4511846.879,443,1.63
OIR74,OIR,484418.576,4511861.308,437,1.75
OSE1,OSE,520757.795,4499601.219,256,1.69
OSE2,OSE,523410.415,4498753.479,267,2.1
OSE5,OSE,522474.797,4499750.626,243,2.98
OSE6,OSE,521834.712,4499540.143,217,2.87
OSE7,OSE,521835.141,4499595.535,229,4.12
OSE10,OSE,519350.058,4504207.085,389,3.5
OSE11,OSE,519344.176,4504210.855,365,2.61
OSE12,OSE,519472.355,4505806.091,207,2.3
OSE15,OSE,519584.318,4505827.255,197,1.97
OSE16,OSE,520033.547,4507182.935,191,1.89
OSE17,OSE,520033.166,4507189.55,177,1.55
OSE18,OSE,519573.264,4509823.184,257,3.1
OSE19,OSE,519798.523,4510236.945,244,3.72
OSE20,OSE,519786.42,4510248.346,244,1.6
OSE22,OSE,519758.663,4510747.574,272,1.6
OSE23,OSE,519771.273,4510735.842,263,1.4
OSE24,OSE,519376.47,4513398.27,330,2.1
OSE25,OSE,519375.582,4513382.727,342,2.35
OSE26,OSE,519319.618,4513937.167,393,2.26
OSE27,OSE,519323.598,4513938.432,384,2.35
OSE29,OSE,520398.898,4517187.444,346,2.7
OSE31,OSE,519091.557,4517846.997,400,2.46
OSE32,OSE,519116.592,4517852.39,401,2.48
OSE34,OSE,519494.454,4517175.791,396,2.03
OSE36,OSE,519556.3,4517169.072,377,2.45
OSE37,OSE,519255.934,4516714.711,441,2.12
